Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
707,El Paraiso,Liure,69.75,61.98,32.31,"1,359.24",0.746,0.521,0.436,0.553,0.527
708,El Paraiso,Moroceli,70.94,84.25,46.44,"2,273.06",0.766,0.716,0.521,0.659,0.634
709,El Paraiso,Oropoli,70.52,79.45,46.73,"1,892.78",0.759,0.685,0.491,0.634,0.613
710,El Paraiso,Potrerillos,70.35,85,44.73,"1,783.08",0.756,0.716,0.481,0.639,0.619
711,El Paraiso,San Antonio de Flores,70.74,78.13,40.69,"2,098.67",0.762,0.657,0.508,0.634,0.609
712,El Paraiso,San Lucas,70.03,64.07,31.49,"1,525.51",0.751,0.532,0.455,0.566,0.54
713,El Paraiso,San Matias,71.03,89.05,50.23,"2,339.52",0.767,0.761,0.526,0.675,0.655
714,El Paraiso,Soledad,70.69,74.69,46.02,"2,010.43",0.762,0.651,0.501,0.629,0.602
715,El Paraiso,Teupsenti,70.09,72.36,34.19,"1,578.39",0.752,0.596,0.46,0.591,0.568
716,El Paraiso,Texiguat,70.12,67.08,35.84,"1,585.75",0.752,0.567,0.461,0.581,0.558
717,El Paraiso,Vado Ancho,68.38,70.42,34.4,768.77,0.723,0.584,0.34,0.524,0.504
718,El Paraiso,Yauyupe,70.51,82.02,43.1,"1,959.85",0.759,0.69,0.497,0.638,0.62
719,El Paraiso,Trojes,70.38,74.77,33.2,"1,805.64",0.756,0.609,0.483,0.606,0.582
801,Francisco Morazan,Distrito Central,73.93,94.56,64.39,"6,876.07",0.816,0.845,0.706,0.787,0.749
802,Francisco Morazan,Alubaren,70.62,69.29,37.69,"1,687.18",0.76,0.588,0.472,0.595,0.569
803,Francisco Morazan,Cedros,70.79,79.28,41.66,"1,795.87",0.763,0.667,0.482,0.626,0.601
804,Francisco Morazan,Curaren,70.46,58.9,24.64,"1,581.42",0.758,0.475,0.461,0.55,0.525
805,Francisco Morazan,El Porvenir,70.93,77.8,41.91,"1,877.66",0.766,0.658,0.489,0.627,0.598
806,Francisco Morazan,Guaimaca,71.71,82.15,42.5,"2,705.82",0.779,0.689,0.55,0.666,0.631
807,Francisco Morazan,La Libertad,70.7,69.15,44.23,"1,778.49",0.762,0.608,0.48,0.606,0.579
808,Francisco Morazan,La Venta,70.84,74.88,38.19,"1,919.22",0.764,0.627,0.493,0.618,0.592
809,Francisco Morazan,Lepaterique,70.76,73,30.33,"1,805.79",0.763,0.588,0.483,0.601,0.577
810,Francisco Morazan,Maraita,71.04,75.17,37.89,"2,120.88",0.767,0.627,0.51,0.626,0.602
811,Francisco Morazan,Marale,70.66,58.43,26.52,"1,732.59",0.761,0.478,0.476,0.557,0.53
812,Francisco Morazan,Nueva Armenia,71.36,83.01,45.36,"2,304.85",0.773,0.705,0.524,0.659,0.637
813,Francisco Morazan,Ojojona,71.57,78.17,38.13,"2,561.64",0.776,0.648,0.541,0.648,0.618
814,Francisco Morazan,Orica,71.01,73.01,39.83,"1,974.78",0.767,0.62,0.498,0.619,0.587
815,Francisco Morazan,Reitoca,70.32,64.03,28.64,"1,504.61",0.755,0.522,0.452,0.563,0.536
816,Francisco Morazan,Sabanagrande,71.71,79.62,43.17,"2,712.30",0.779,0.675,0.551,0.662,0.629
817,Francisco Morazan,San Antonio de Oriente,72.14,86.59,51.7,"3,342.12",0.786,0.75,0.586,0.702,0.669
818,Francisco Morazan,San Buenaventura,71.99,83.8,42.42,"2,972.37",0.783,0.7,0.566,0.677,0.65
819,Francisco Morazan,San Ignacio,71.06,80.37,41.86,"2,025.69",0.768,0.675,0.502,0.638,0.608
820,Francisco Morazan,San Juan de Flores,71.08,76.71,34.03,"2,075.46",0.768,0.625,0.506,0.624,0.595
821,Francisco Morazan,San Miguelito,70.62,76.13,47.27,"1,682.40",0.76,0.665,0.471,0.62,0.598
822,Francisco Morazan,Santa Ana,72.75,87.91,47.97,"4,177.14",0.796,0.746,0.623,0.718,0.681
823,Francisco Morazan,Santa Lucia,73.44,89.62,55.32,"5,650.74",0.807,0.782,0.673,0.752,0.717
824,Francisco Morazan,Talanga,72.15,84.13,45.42,"3,263.84",0.786,0.712,0.582,0.688,0.651
825,Francisco Morazan,Tatumbla,71.81,79.57,39.78,"2,848.03",0.78,0.663,0.559,0.661,0.631
826,Francisco Morazan,Valle de Angeles,72.79,85.85,48.62,"4,306.51",0.797,0.734,0.628,0.716,0.681
827,Francisco Morazan,Villa de San Francisco,71.68,81.77,44.4,"2,676.15",0.778,0.693,0.549,0.666,0.633
828,Francisco Morazan,Vallecillo,71.14,80.16,36.79,"2,067.15",0.769,0.657,0.506,0.635,0.61
901,Gracias a Dios,Puerto Lempira,70.55,78.32,41.97,"1,625.10",0.759,0.662,0.465,0.616,0.579
902,Gracias a Dios,Brus Laguna,69.61,89.64,51.98,"1,090.61",0.744,0.771,0.399,0.612,0.566
903,Gracias a Dios,Ahuas,70.24,83.88,38.6,"1,427.18",0.754,0.688,0.444,0.613,0.58
904,Gracias a Dios,Juan Francisco Bulnes,70.48,88.23,48.61,"1,618.76",0.758,0.75,0.465,0.642,0.604
905,Gracias a Dios,Villeda Morales,69.67,82.9,38.69,"1,111.73",0.745,0.682,0.402,0.589,0.559
906,Gracias a Dios,Wanpusirpi,69.94,84.22,45.89,"1,269.36",0.749,0.714,0.424,0.61,0.575
1001,Gracias a Dios,La Esperanza,73.72,91.82,61.09,"3,295.67",0.812,0.816,0.583,0.728,0.685
1002,Gracias a Dios,Camasca,71.57,82.95,49.17,"1,307.97",0.776,0.717,0.429,0.62,0.59
1003,Gracias a Dios,Colomoncagua,71.53,77.37,42.31,"1,334.18",0.776,0.657,0.432,0.604,0.57
1004,Gracias a Dios,Concepcion,71.46,79.66,44.62,"1,282.88",0.774,0.68,0.426,0.608,0.577
1005,Gracias a Dios,Dolores,71.15,71.93,29.48,"1,157.86",0.769,0.578,0.409,0.566,0.534
1006,Gracias a Dios,Intibuca,72.31,85.7,49.51,"1,816.47",0.789,0.736,0.484,0.655,0.621
1007,Gracias a Dios,Jesus de Otoro,71.9,83.59,44.88,"1,555.34",0.782,0.707,0.458,0.633,0.596
1008,Gracias a Dios,Magdalena,71.37,82.37,46.16,"1,196.99",0.773,0.703,0.414,0.608,0.575
1009,Gracias a Dios,Masaguara,71.02,65.2,32.91,"1,066.94",0.767,0.544,0.395,0.548,0.512
1010,Gracias a Dios,San Antonio,71.5,83.14,43.02,"1,287.64",0.775,0.698,0.427,0.614,0.584
1011,Gracias a Dios,San Isidro,71.6,83.5,38.98,"1,407.15",0.777,0.687,0.441,0.617,0.581
1012,Gracias a Dios,San Juan,71.45,75.07,37.05,"1,304.84",0.774,0.624,0.429,0.592,0.555
1013,Gracias a Dios,San Marcos de la Sierra,70.99,62.6,27.75,"1,097.44",0.767,0.51,0.4,0.539,0.504
1014,Gracias a Dios,San Miguelito,71.2,70.44,32.79,"1,170.14",0.77,0.579,0.411,0.568,0.536
1015,Gracias a Dios,Santa Lucia,71.27,75.14,37.4,"1,106.40",0.771,0.626,0.401,0.578,0.546
1016,Gracias a Dios,Yamaranguila,71.54,78.32,41.71,"1,323.26",0.776,0.661,0.431,0.605,0.573
1017,Gracias a Dios,San Francisco de Opalaca,71.15,63.54,25.84,"1,143.20",0.769,0.51,0.407,0.542,0.511
1101,Islas de la Bahia,Roatan,73.38,96.67,59.03,"5,463.68",0.806,0.841,0.668,0.768,0.735
1102,Islas de la Bahia,Guanaja,73.19,97.27,53.29,"5,226.58",0.803,0.826,0.66,0.759,0.731
1103,Islas de la Bahia,Jose Santos Guardiola,72.57,97.26,60.07,"3,821.80",0.793,0.849,0.608,0.742,0.708
1104,Islas de la Bahia,Utila,73.39,96.55,51.25,"5,743.51",0.807,0.815,0.676,0.763,0.734
1201,La Paz,La Paz,72,89.38,59.43,"3,054.97",0.783,0.794,0.571,0.708,0.649
1202,La Paz,Aguanqueterique,70.5,83.31,44.04,"1,568.22",0.758,0.702,0.459,0.625,0.581
1203,La Paz,Cabanas,70.37,89.04,45.52,"1,519.31",0.756,0.745,0.454,0.635,0.595
1204,La Paz,Cane,72.45,91.54,61.89,"3,706.57",0.791,0.817,0.603,0.73,0.672
1205,La Paz,Chinacla,70.45,78.41,41.27,"1,617.65",0.758,0.66,0.465,0.615,0.562
1206,La Paz,Guajiquiro,70.64,86.84,44.62,"1,634.07",0.761,0.728,0.466,0.637,0.595
