Departamento,Municipio,PN,PINU-SD,DC,PL,UD,Total Marcas
OCOTEPEQUE,MERCEDES,1371,125,30,794,0,2320
OCOTEPEQUE,SAN FERNANDO,1373,100,11,1298,0,2782
OCOTEPEQUE,SAN FRANCISCO DEL VALLE,1608,54,16,1114,0,2792
OCOTEPEQUE,SAN JORGE,1232,73,61,804,0,2170
OCOTEPEQUE,SAN MARCOS,3783,139,46,2714,0,6682
OCOTEPEQUE,SANTA FE,964,52,165,857,0,2038
OCOTEPEQUE,SENSENTI,2151,174,77,1257,0,3659
OCOTEPEQUE,SINUAPA,1378,63,21,1506,0,2968
OLANCHO,JUTICALPA,74072,10412,8971,37143,2911,133509
OLANCHO,CAMPAMENTO,18439,2042,866,6740,767,28854
OLANCHO,CATACAMAS,45584,1844,1849,20027,6733,76037
OLANCHO,CONCORDIA,9430,632,396,4562,398,15418
OLANCHO,DULCE NOMBRE DE CULMI,14702,620,739,5573,788,22422
OLANCHO,EL ROSARIO,4184,336,846,3874,119,9359
OLANCHO,ESQUIPULAS DEL NORTE,4629,364,227,3346,176,8742
OLANCHO,GUALACO,11304,369,525,8068,295,20561
OLANCHO,GUARIZAMA,7274,309,325,4120,204,12232
OLANCHO,GUATA,10638,545,1190,5356,212,17941
OLANCHO,GUAYAPE,6643,250,452,3044,457,10846
OLANCHO,JANO,4938,343,565,2425,154,8425
OLANCHO,LA UNION,4863,409,968,4346,1190,11776
OLANCHO,MANGULILE,6449,298,211,5567,238,12763
OLANCHO,MANTO,8056,811,327,5116,215,14525
OLANCHO,SALAMA,6162,362,495,3600,346,10965
OLANCHO,SAN ESTEBAN,8010,303,1376,5433,145,15267
OLANCHO,SAN FRANCISCO DE BECERRA,8306,580,371,7574,212,17043
OLANCHO,SAN FRANCISCO DE LA PAZ,11595,890,730,8203,404,21822
OLANCHO,SANTA MARIA DEL REAL,9112,311,695,4077,589,14784
OLANCHO,SILCA,3665,291,1012,5008,160,10136
OLANCHO,YOCON,5400,384,1487,6514,303,14088
OLANCHO,PATUCA,12912,1109,2729,7497,631,24878
SANTA BARBARA,SANTA BARBARA,46335,2462,4635,30387,2545,86364
SANTA BARBARA,ARADA,15173,443,479,13517,1441,31053
SANTA BARBARA,ATIMA,19390,542,542,12948,958,34380
SANTA BARBARA,AZACUALPA,17259,432,431,2413,340,20875
SANTA BARBARA,CEGUACA,8510,1143,190,5584,485,15912
SANTA BARBARA,SAN JOSE DE COLINAS,16449,577,662,13576,1589,32853
SANTA BARBARA,CONCEPCION DEL NORTE,13204,507,1436,9228,414,24789
SANTA BARBARA,CONCEPCION DEL SUR,7856,245,199,11010,1120,20430
SANTA BARBARA,CHINDA,5109,144,78,4909,154,10394
SANTA BARBARA,EL NISPERO,14511,363,638,11872,747,28131
SANTA BARBARA,GUALALA,2628,71,346,4664,101,7810
SANTA BARBARA,ILAMA,8092,286,930,3110,246,12664
SANTA BARBARA,MACUELIZO,26173,893,1187,8772,1570,38595
