Departamento,Municipio,PL,PN,Alianza,DC,UD,PAC,APH,FA,VAMOS
Lempira,Mapulaca,178,1159,1263,2,4,5,8,1,4
Lempira,Piraera,132,3078,1359,7,18,6,20,12,6
Lempira,San Andrés,365,3947,1748,43,22,11,22,14,15
Lempira,San Francisco,118,2260,1935,3,11,2,7,4,2
Lempira,San Juan Guarita,263,730,363,1,5,3,8,4,1
Lempira,San Manuel Colohete,1290,4399,1186,8,6,2,9,6,5
Lempira,San Marcos de Caiquín,439,1153,1386,5,5,2,6,2,0
Lempira,San Rafael,328,3561,2411,20,17,11,6,7,8
Lempira,San Sebastian,457,2874,1107,3,19,9,8,8,9
Lempira,Santa Cruz,1316,1861,417,0,2,2,4,2,1
Lempira,Talgua,154,2279,1512,4,6,2,10,5,1
Lempira,Tambla,37,1153,445,4,4,20,85,4,0
Lempira,Tomalá,48,2415,929,0,3,4,5,0,3
Lempira,Valladolid,39,1719,395,0,4,1,3,4,0
Lempira,Virginia,24,812,971,2,3,6,0,0,4
Ocotepeque,Belén Gualcho,2479,4210,1325,5,7,6,19,2,19
Ocotepeque,Concepción,156,1293,1011,8,10,6,9,2,3
Ocotepeque,Dolores Merendon,1160,1087,170,1,1,3,4,4,0
Ocotepeque,Fraternidad,977,1054,486,3,1,1,2,2,0
Ocotepeque,La Encarnación,938,1455,782,1,1,2,3,0,0
Ocotepeque,La Labor,870,2123,1779,9,2,5,6,1,4
Ocotepeque,Lucerna,529,1241,1022,3,1,7,5,4,2
Ocotepeque,Mercedes,258,1756,609,5,9,6,5,5,1
Ocotepeque,Ocotepeque,2289,4237,4733,22,10,7,15,7,5
Ocotepeque,San Fernando,2003,1033,372,8,2,4,9,2,0
Ocotepeque,San Francisco del Valle,469,2023,1647,4,3,5,2,3,5
Ocotepeque,San Jorge,582,1219,458,6,2,2,2,2,1
Ocotepeque,San Marcos,2436,3846,3047,8,10,6,10,4,2
Ocotepeque,Santa Fé,541,1106,1118,11,2,5,76,2,6
Ocotepeque,Sensenti,713,2256,2175,7,8,17,9,11,3
Ocotepeque,Sinuapa,902,1399,1896,7,5,2,10,5,1
Olancho,Campamento,886,5786,3291,10,9,10,21,7,3
Olancho,Catacamas,3902,13914,18715,38,64,44,50,26,25
Olancho,Concordia,508,2314,1602,5,7,4,10,6,2
Olancho,Dulce Nombre de Culmí,1776,4875,4665,13,19,8,17,11,8
Olancho,El Rosario,52,1528,1421,0,3,23,1,0,1
Olancho,Esquipulas del Norte,1158,1454,1155,5,5,4,13,13,7
Olancho,Gualaco,1423,3997,2532,10,9,7,14,1,2
Olancho,Guarizama,698,1918,1548,5,2,8,12,2,1
Olancho,Guata,621,2990,1870,6,8,3,5,9,2
Olancho,Guayape,83,2178,3026,1,8,6,7,1,9
Olancho,Jano,722,1568,1170,5,3,9,8,6,5
Olancho,Juticalpa,6112,16850,15339,32,62,38,56,26,16
Olancho,La Unión,516,1684,1620,14,11,12,12,4,3
Olancho,Mangulile,107,1701,1424,22,18,4,33,5,14
Olancho,Manto,254,2228,2615,0,10,3,3,4,7
Olancho,Patuca,2596,5482,3383,296,25,9,19,12,6
Olancho,Salamá,271,2242,1564,1,2,1,3,2,7
Olancho,San Esteban,1766,3957,3366,20,16,9,25,3,5
Olancho,San Francisco de Becerra,1071,2963,1210,2,3,3,19,4,0
Olancho,San Francisco de la Paz,481,4523,3504,10,15,8,7,6,3
Olancho,Santa Maria del Real,207,2226,2888,8,4,3,3,3,3
