Departamento,Municipio,Liberal,Nacional,Libre-PINU,Democrata Cristiano,UD,PAC,Alianza Patriotica,Frente Amplio,VAMOS
La Paz,SAN JOSE,1183,2018,1098,3,1,11,5,4,8
La Paz,SAN JUAN,388,464,277,8,1,1,4,2,0
La Paz,SAN PEDRO DE TUTULE,624,1891,913,2,7,5,1,3,2
La Paz,SANTA ANA,1638,2710,444,9,12,8,4,7,3
La Paz,SANTA ELENA,1031,3145,746,10,7,25,15,8,3
La Paz,SANTA MARIA,1561,2699,699,6,68,3,4,4,7
La Paz,SANTIAGO DE PURINGLA,2723,4604,1066,9,3,5,11,4,2
La Paz,YARULA,845,2714,250,5,3,11,7,7,0
Lempira,GRACIAS,1887,13367,4992,13,25,31,22,21,6
Lempira,BELEN,903,2235,893,4,3,12,10,5,4
Lempira,CANDELARIA,36,1853,1886,0,12,6,2,3,2
Lempira,COLOLACA,151,2303,757,2,6,10,9,1,2
Lempira,ERANDIQUE,839,4340,2988,12,3,1,12,6,11
Lempira,GUALCINCE,415,2887,966,12,11,7,20,10,5
Lempira,GUARITA,753,2092,912,6,2,1,9,6,2
Lempira,LA CAMPA,857,2226,534,4,2,1,6,1,2
Lempira,LA IGUALA,1459,6169,2514,18,32,11,24,17,10
Lempira,LAS FLORES,243,2714,1895,2,5,1,3,7,3
Lempira,LA UNION,372,3767,2910,3,10,3,2,12,6
Lempira,LA VIRTUD,32,2251,1625,1,2,2,2,0,3
Lempira,LEPAERA,420,9552,6145,10,33,9,22,14,11
Lempira,MAPULACA,178,1159,1263,2,4,5,8,1,4
Lempira,PIRAERA,132,3078,1359,7,18,6,20,12,6
Lempira,SAN ANDRES,365,3947,1748,43,22,11,22,14,15
Lempira,SAN FRANCISCO,118,2260,1935,3,11,2,7,4,2
Lempira,SAN JUAN GUARITA,263,730,363,1,5,3,8,4,1
Lempira,SAN MANUEL COLOHETE,1290,4399,1186,8,6,2,9,6,5
Lempira,SAN RAFAEL,328,3561,2411,20,17,11,6,7,8
Lempira,SAN SEBASTIAN,457,2874,1107,3,19,9,8,8,9
Lempira,SANTA CRUZ,1316,1861,417,0,2,2,4,2,1
Lempira,TALGUA,154,2279,1512,4,6,2,10,5,1
Lempira,TAMBLA,37,1153,445,4,4,20,85,4,0
Lempira,TOMALA,48,2415,929,0,3,4,5,0,3
Lempira,VALLADOLID,39,1719,395,0,4,1,3,4,0
Lempira,VIRGINIA,24,812,971,2,3,6,0,0,4
Lempira,SAN MARCOS DE CAIQUIN,439,1153,1386,5,5,2,6,2,0
Ocotepeque,OCOTEPEQUE,2289,4237,4733,22,10,7,15,7,5
Ocotepeque,BELEN GUALCHO,2479,4210,1325,5,7,6,19,2,19
Ocotepeque,CONCEPCION,156,1293,1011,8,10,6,9,2,3
Ocotepeque,DOLORES MERENDON,1160,1087,170,1,1,3,4,4,0
Ocotepeque,FRATERNIDAD,977,1054,486,3,1,1,2,2,0
Ocotepeque,LA ENCARNACION,938,1455,782,1,1,2,3,0,0
Ocotepeque,LA LABOR,870,2123,1779,9,2,5,6,1,4
Ocotepeque,LUCERNA,529,1241,1022,3,1,7,5,4,2
Ocotepeque,MERCEDES,258,1756,609,5,9,6,5,5,1
Ocotepeque,SAN FERNANDO,2003,1033,372,8,2,4,9,2,0
Ocotepeque,SAN FRANCISCO DEL VALLE,469,2023,1647,4,3,5,2,3,5
Ocotepeque,SAN JORGE,582,1219,458,6,2,2,2,2,1
Ocotepeque,SAN MARCOS,2436,3846,3047,8,10,6,10,4,2
Ocotepeque,SANTA FE,541,1106,1118,11,2,5,76,2,6
Ocotepeque,SENSENTI,713,2256,2175,7,8,17,9,11,3
Ocotepeque,SINUAPA,902,1399,1896,7,5,2,10,5,1
Olancho,JUTICALPA,6112,16850,15339,32,62,38,56,26,16
Olancho,CAMPAMENTO,886,5786,3291,10,9,10,21,7,3
Olancho,CATACAMAS,3902,13914,18715,38,64,44,50,26,25
Olancho,CONCORDIA,508,2314,1602,5,7,4,10,6,2
Olancho,DULCE NOMBRE DE CULMI,1776,4875,4665,13,19,8,17,11,8
Olancho,EL ROSARIO,52,1528,1421,0,3,23,1,0,1
Olancho,ESQUIPULAS DEL NORTE,1158,1454,1155,5,5,4,13,13,7
Olancho,GUALACO,1423,3997,2532,10,9,7,14,1,2
Olancho,GUARIZAMA,698,1918,1548,5,2,8,12,2,1
Olancho,GUATA,621,2990,1870,6,8,3,5,9,2
Olancho,GUAYAPE,83,2178,3026,1,8,6,7,1,9
Olancho,JANO,722,1568,1170,5,3,9,8,6,5
Olancho,LA UNION,516,1684,1620,14,11,12,12,4,3
Olancho,MANGULILE,107,1701,1424,22,18,4,33,5,14
Olancho,MANTO,254,2228,2615,0,10,3,3,4,7
Olancho,SALAMA,271,2242,1564,1,2,1,3,2,7
Olancho,SAN ESTEBAN,1766,3957,3366,20,16,9,25,3,5
Olancho,SAN FRANCISCO DE BECERRA,1071,2963,1210,2,3,3,19,4,0
Olancho,SAN FRANCISCO DE LA PAZ,481,4523,3504,10,15,8,7,6,3
Olancho,SANTA MARIA DEL REAL,207,2226,2888,8,4,3,3,3,3
Olancho,SILCA,183,2171,2240,3,4,3,5,1,3
Olancho,YOCON,753,2218,1629,9,14,5,24,15,1
Olancho,PATUCA,2596,5482,3383,296,25,9,19,12,6
Santa Barbara,SANTA BARBARA,568,9585,11371,22,17,32,6,10,39
Santa Barbara,ARADA,93,3425,3389,3,3,3,2,2,6
Santa Barbara,ATIMA,193,4354,3890,3,12,2,2,10,8
Santa Barbara,AZACUALPA,276,3483,4167,10,11,4,5,20,9
Santa Barbara,CEGUACA,67,1613,1824,2,2,0,1,3,3
Santa Barbara,SAN JOSE DE COLINAS,433,5322,5795,10,7,5,5,6,7
Santa Barbara,CONCEPCION DEL NORTE,391,2906,2215,4,8,5,3,2,6
Santa Barbara,CONCEPCION DEL SUR,683,1620,1978,5,3,2,1,6,4
Santa Barbara,CHINDA,180,1608,1229,0,5,5,0,2,0
Santa Barbara,EL NISPERO,177,2246,2776,2,6,4,3,3,10
Santa Barbara,GUALALA,721,804,1962,1,3,3,5,1,2
Santa Barbara,ILAMA,288,2793,1493,1,3,4,3,2,3
Santa Barbara,MACUELIZO,421,5648,7752,7,15,26,13,16,12
Santa Barbara,NARANJITO,191,2517,1633,2,8,0,3,6,6
Santa Barbara,NUEVO CELILAC,296,1754,1688,3,2,6,5,4,5
Santa Barbara,PETOA,445,2831,2730,2,4,4,1,1,5
Santa Barbara,PROTECCION,388,2763,1748,9,9,8,15,2,3
Santa Barbara,QUIMISTAN,959,7457,7042,13,35,11,15,13,9
Santa Barbara,SAN FRANCISCO DE OJUERA,370,2416,1037,2,3,3,3,0,4
Santa Barbara,SAN LUIS,436,6354,5695,5,16,5,14,18,10
Santa Barbara,SAN MARCOS,660,2582,3488,14,13,4,12,6,7
Santa Barbara,SAN NICOLAS,388,3586,3827,2,10,3,3,1,8
Santa Barbara,SAN PEDRO DE ZACAPA,304,3973,3215,2,6,4,3,0,2
Santa Barbara,SANTA RITA,51,1375,765,1,3,5,3,0,2
Santa Barbara,SAN VICENTE CENTENARIO,223,822,1241,1,0,7,2,3,3
